Name,Address,BusinessDays,BusinessHours,ToursandTasting,Area,Link,lon,lat
WHISKEY RIVER RANCH VINEYARDS,1844 POPE CANYON RD,By Appointment,By Appointment,Appointment,Pope Valley,https://whiskyriverranch.com/,-122.3956268,38.60497509
RETRO CELLARS,805 N WHITE COTTAGE RD,Mon - Fri,10 AM - 4 PM,Appointment,Angwin,https://www.retrocellars.com/,-122.4508918,38.59291686
SUMMIT LAKE VINEYARDS,2000 SUMMIT LAKE DR,By Appointment,By Appointment,Appointment,Angwin,http://www.summitlakevineyards.com/,-122.4602475,38.60012509
OUTPOST WINES,2075 SUMMIT LAKE DR,Mon - Sat,9 AM - 2 PM,Appointment,Angwin,https://www.outpostwines.com/,-122.4636061,38.59812832
ROBERT FOLEY VINEYARDS,1296 SUMMIT LAKE DR,Thurs - Sat,10:30 AM - 11:30 AM,Appointment,Angwin,http://www.robertfoleyvineyards.com/,-122.4517988,38.59785209
PREDECESSOR ESTATE,860 FRIESEN DR,By Appointment,By Appointment,Appointment,Angwin,https://predecessorestate.com/,-122.4637875,38.59252024
POPE VALLEY WINERY,6613 POPE VALLEY RD,Sun - Sat,10 AM - 5 PM,Appointment,Pope Valley,http://www.popevalleywinery.com/,-122.4515568,38.63398833
CALLA LILY ESTATE AND  WINERY,6307 POPE VALLEY RD,By Appointment,By Appointment,Appointment,Pope Valley,https://callalilywines.com/,-122.4509918,38.62500185
DIAMOND MOUNTAIN WINERY,2111 DIAMOND MOUNTAIN RD,Sun - Sat,11AM - 3 PM,Appointment,Calistoga,https://diamondmountainvineyard.com/,-122.5794708,38.54477309
PARABLE WINERY,4300 SILVERADO TRL,By Appointment,By Appointment,Appointment,Calistoga,https://parablewines.com/,-122.5256568,38.57707509
GIRARD NAPA VALLEY,1077 DUNAWEAL LN,Thurs - Mon,10 AM - 5 PM,Appointment,Calistoga,https://www.girardwinery.com/,-122.5514382,38.5721537
PAOLETTI ESTATES WINERY,4501 SILVERADO TRL,Fri - Mon,11 AM - 4 PM,Appointment,Calistoga,http://www.paolettivineyards.com/,-122.5440583,38.57290586
STERLING VINEYARDS,1111 DUNAWEAL LN,Sun - Sat,10 AM - 5 PM,Public,Calistoga,https://www.sterlingvineyards.com/,-122.5471365,38.56874376
JOSEPH CELLARS,4455 N ST HELENA HWY,Sun - Sat,11 AM - 5 PM,Appointment,Calistoga,http://www.josephcellars.com/,-122.5637928,38.56245426
LARKMEAD VINEYARDS,1100 LARKMEAD LN,Sun - Sat,9 AM - 5 PM,Appointment,Calistoga,http://www.larkmead.com/,-122.5246968,38.55836586
FRANK FAMILY VINEYARDS,1091 LARKMEAD LN,Sun - Sat,10 AM - 5 PM,Appointment,Calistoga,http://www.frankfamilyvineyards.com/,-122.5222482,38.55942025
SCHRAMSBERG VINEYARDS WINERY,1400 SCHRAMSBERG RD,Sun - Sat,9 AM - 4:30 PM,Appointment,Calistoga,https://www.schramsberg.com/,-122.5380621,38.55048582
BEHRENS FAMILY WINERY,4078 SPRING MOUNTAIN RD,Mon - Sat,10 AM - 3 PM,Tasting Appointment,St. Helena,https://behrensfamilywinery.com/,-122.5580732,38.5321815
SHERWIN FAMILY VINEYARDS,4060 SPRING MOUNTAIN RD,Mon - Sat,10 AM - 3 PM,Appointment,St. Helena,https://www.sherwinfamilyvineyards.com/,-122.5586629,38.53001058
BARNETT VINEYARDS,4070 SPRING MOUNTAIN RD,Mon - Sat,11 AM - 3 PM,Tasting Appointment,St. Helena,http://www.barnettvineyards.com/,-122.5536345,38.53202424
PRIDE MOUNTAIN VINEYARDS,4026 SPRING MOUNTAIN RD,Wed - Mon,10 AM - 3:30 PM,Appointment,St. Helena,http://www.pridewines.com/,-122.5649468,38.52782897
VINEYARD 7 AND 8,4028 SPRING MOUNTAIN RD,By Appointment,By Appointment,Appointment,St. Helena,https://www.vineyard7and8.com/,-122.5525321,38.52617313
STONY HILL VINEYARD,3331 ST HELENA HWY N,Thurs - Mon,10 AM - 3:30 PM,Appointment,St. Helena,https://www.stonyhillvineyard.com/,-122.5291988,38.53553405
SMITH MADRONE VINEYARDS,4022 SPRING MOUNTAIN RD,"Tues, Thurs, Sat",10 AM - 12 PM,Appointment,St. Helena,https://www.smithmadrone.com/,-122.5485563,38.53252721
KENEFICK WINERY,2200 PICKETT RD,Mon - Fri,9 AM - 4:30 PM,Appointment,Calistoga,http://www.kenefickranch.com/,-122.5566286,38.59063741
EISELE VINEYARD,2155 PICKETT RD,Mon - Sat,10 AM - 3:30 PM,Appointment,Calistoga,http://eiselevineyard.com/,-122.5541894,38.58484795
PHIFER PAVITT FAMILY VINEYARDS,4660 SILVERADO TRL,Tues - Sat,10 AM - 4 PM,Appointment,Calistoga,http://www.phiferpavittwine.com/,-122.551434,38.57697013
